,train,val,test
0,patient1001,patient1022,patient1007
1,patient1006,patient222,patient11
2,patient1011,patient258,patient17
3,patient1012,patient26,patient203
4,patient1013,patient326,patient209
5,patient1018,patient329,patient219
6,patient1019,patient354,patient237
7,patient1027,patient355,patient240
8,patient1030,patient38,patient302
9,patient1036,patient448,patient338
10,patient1038,patient453,patient404
11,patient1039,patient801,patient47
12,patient1040,patient83,patient807
13,patient1045,,
14,patient1046,,
15,patient1053,,
16,patient1055,,
17,patient1056,,
18,patient1057,,
19,patient1063,,
20,patient12,,
21,patient14,,
22,patient18,,
23,patient19,,
24,patient201,,
25,patient211,,
26,patient212,,
27,patient220,,
28,patient221,,
29,patient223,,
30,patient229,,
31,patient23,,
32,patient232,,
33,patient238,,
34,patient239,,
35,patient241,,
36,patient246,,
37,patient247,,
38,patient248,,
39,patient249,,
40,patient255,,
41,patient256,,
42,patient257,,
43,patient27,,
44,patient28,,
45,patient29,,
46,patient301,,
47,patient303,,
48,patient304,,
49,patient309,,
50,patient31,,
51,patient313,,
52,patient318,,
53,patient319,,
54,patient320,,
55,patient322,,
56,patient327,,
57,patient328,,
58,patient330,,
59,patient336,,
60,patient337,,
61,patient340,,
62,patient344,,
63,patient345,,
64,patient347,,
65,patient348,,
66,patient349,,
67,patient353,,
68,patient363,,
69,patient4,,
70,patient402,,
71,patient409,,
72,patient413,,
73,patient420,,
74,patient421,,
75,patient422,,
76,patient428,,
77,patient429,,
78,patient444,,
79,patient454,,
80,patient463,,
