,train,val,test
0,patient1001,patient1027,patient1007
1,patient1006,patient1036,patient14
2,patient1011,patient1046,patient212
3,patient1012,patient223,patient220
4,patient1013,patient248,patient246
5,patient1018,patient301,patient353
6,patient1019,patient304,patient354
7,patient1022,patient345,patient404
8,patient1030,patient430,patient420
9,patient1038,patient448,patient421
10,patient1039,patient458,patient62
11,patient1040,patient56,patient88
12,patient1045,patient801,patient89
13,patient1053,,
14,patient1055,,
15,patient1056,,
16,patient1057,,
17,patient1063,,
18,patient11,,
19,patient12,,
20,patient17,,
21,patient18,,
22,patient19,,
23,patient201,,
24,patient203,,
25,patient209,,
26,patient211,,
27,patient219,,
28,patient221,,
29,patient222,,
30,patient229,,
31,patient23,,
32,patient232,,
33,patient237,,
34,patient238,,
35,patient239,,
36,patient240,,
37,patient241,,
38,patient247,,
39,patient249,,
40,patient255,,
41,patient256,,
42,patient257,,
43,patient258,,
44,patient26,,
45,patient27,,
46,patient28,,
47,patient29,,
48,patient302,,
49,patient303,,
50,patient309,,
51,patient31,,
52,patient313,,
53,patient318,,
54,patient319,,
55,patient320,,
56,patient322,,
57,patient326,,
58,patient327,,
59,patient328,,
60,patient329,,
61,patient330,,
62,patient336,,
63,patient337,,
64,patient338,,
65,patient340,,
66,patient344,,
67,patient347,,
68,patient348,,
69,patient349,,
70,patient355,,
71,patient363,,
72,patient38,,
73,patient4,,
74,patient402,,
75,patient409,,
76,patient444,,
77,patient453,,
78,patient454,,
79,patient463,,
80,patient6,,
