,train,val,test
0,patient1001,patient1007,patient1011
1,patient1006,patient1040,patient1030
2,patient1012,patient209,patient229
3,patient1013,patient23,patient327
4,patient1018,patient302,patient337
5,patient1019,patient303,patient344
6,patient1022,patient340,patient348
7,patient1027,patient38,patient353
8,patient1036,patient409,patient4
9,patient1038,patient439,patient422
10,patient1039,patient46,patient60
11,patient1045,patient64,patient810
12,patient1046,patient812,patient89
13,patient1053,,
14,patient1055,,
15,patient1056,,
16,patient1057,,
17,patient1063,,
18,patient11,,
19,patient12,,
20,patient14,,
21,patient17,,
22,patient18,,
23,patient19,,
24,patient201,,
25,patient203,,
26,patient211,,
27,patient212,,
28,patient219,,
29,patient220,,
30,patient221,,
31,patient222,,
32,patient223,,
33,patient232,,
34,patient237,,
35,patient238,,
36,patient239,,
37,patient240,,
38,patient241,,
39,patient246,,
40,patient247,,
41,patient248,,
42,patient249,,
43,patient255,,
44,patient256,,
45,patient257,,
46,patient258,,
47,patient26,,
48,patient27,,
49,patient28,,
50,patient29,,
51,patient301,,
52,patient304,,
53,patient309,,
54,patient31,,
55,patient313,,
56,patient318,,
57,patient319,,
58,patient320,,
59,patient322,,
60,patient326,,
61,patient328,,
62,patient329,,
63,patient330,,
64,patient336,,
65,patient338,,
66,patient345,,
67,patient347,,
68,patient349,,
69,patient354,,
70,patient355,,
71,patient363,,
72,patient402,,
73,patient404,,
74,patient413,,
75,patient420,,
76,patient421,,
77,patient444,,
78,patient453,,
79,patient454,,
80,patient463,,
