,train,val,test
0,patient1001,patient1011,patient1045
1,patient1006,patient219,patient18
2,patient1007,patient241,patient209
3,patient1012,patient248,patient211
4,patient1013,patient320,patient222
5,patient1018,patient322,patient23
6,patient1019,patient329,patient29
7,patient1022,patient363,patient302
8,patient1027,patient421,patient328
9,patient1030,patient75,patient337
10,patient1036,patient811,patient354
11,patient1038,patient90,patient422
12,patient1039,patient92,patient64
13,patient1040,,
14,patient1046,,
15,patient1053,,
16,patient1055,,
17,patient1056,,
18,patient1057,,
19,patient1063,,
20,patient11,,
21,patient12,,
22,patient14,,
23,patient17,,
24,patient19,,
25,patient201,,
26,patient203,,
27,patient212,,
28,patient220,,
29,patient221,,
30,patient223,,
31,patient229,,
32,patient232,,
33,patient237,,
34,patient238,,
35,patient239,,
36,patient240,,
37,patient246,,
38,patient247,,
39,patient249,,
40,patient255,,
41,patient256,,
42,patient257,,
43,patient258,,
44,patient26,,
45,patient27,,
46,patient28,,
47,patient301,,
48,patient303,,
49,patient304,,
50,patient309,,
51,patient31,,
52,patient313,,
53,patient318,,
54,patient319,,
55,patient326,,
56,patient327,,
57,patient330,,
58,patient336,,
59,patient338,,
60,patient340,,
61,patient344,,
62,patient345,,
63,patient347,,
64,patient348,,
65,patient349,,
66,patient353,,
67,patient355,,
68,patient38,,
69,patient4,,
70,patient402,,
71,patient404,,
72,patient409,,
73,patient413,,
74,patient420,,
75,patient428,,
76,patient429,,
77,patient444,,
78,patient453,,
79,patient454,,
80,patient463,,
