Path,Sample.Name,Phenotype,Cell.ID,Total.Cells,Cell.X.Position,Cell.Y.Position,CD8,FoxP3,PD.L1,CD4,Treg,APC,Epithelial,Tcell,CellType,Group,Patient
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Other,35,0,770,18,neg,neg,neg,pos,neg,neg,neg,neg,Other,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Other,67,0,776,30,neg,neg,neg,pos,neg,neg,neg,neg,Other,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Other,78,0,768,32,neg,neg,neg,pos,neg,neg,neg,neg,Other,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Other,95,0,775,37,neg,neg,neg,pos,neg,neg,neg,neg,Other,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Other,102,0,736,37,neg,neg,neg,pos,neg,neg,neg,neg,Other,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Other,127,0,770,47,neg,neg,neg,pos,neg,neg,neg,neg,Other,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Other,77,0,642,32,neg,neg,neg,pos,neg,neg,neg,neg,Other,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Other,70,0,606,30,neg,neg,neg,pos,neg,neg,neg,neg,Other,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Other,75,0,638,31,neg,neg,neg,pos,neg,neg,neg,neg,Other,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Other,61,0,590,28,neg,neg,neg,pos,neg,neg,neg,neg,Other,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Other,109,0,594,41,neg,neg,neg,pos,neg,neg,neg,neg,Other,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Other,55,0,171,25,neg,neg,neg,pos,neg,neg,neg,neg,Other,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Other,81,0,170,33,neg,neg,neg,pos,neg,neg,neg,neg,Other,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Other,105,0,161,41,neg,neg,neg,pos,neg,neg,neg,neg,Other,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Other,116,0,175,45,neg,neg,neg,pos,neg,neg,neg,neg,Other,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Other,135,0,179,47,neg,neg,neg,pos,neg,neg,neg,neg,Other,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Other,175,0,731,59,neg,neg,neg,pos,neg,neg,neg,neg,Other,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Other,204,0,713,69,neg,neg,neg,pos,neg,neg,neg,neg,Other,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Other,223,0,731,73,neg,neg,neg,pos,neg,neg,neg,neg,Other,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Other,247,0,688,79,neg,neg,neg,pos,neg,neg,neg,neg,Other,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Other,258,0,704,82,neg,neg,neg,pos,neg,neg,neg,neg,Other,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Other,318,0,720,94,neg,neg,neg,pos,neg,neg,neg,neg,Other,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Other,309,0,632,93,neg,neg,neg,pos,neg,neg,neg,neg,Other,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Other,313,0,638,92,neg,neg,neg,pos,neg,neg,neg,neg,Other,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Other,323,0,603,95,neg,neg,neg,pos,neg,neg,neg,neg,Other,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Other,419,0,636,126,neg,neg,neg,pos,neg,neg,neg,neg,Other,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Other,469,0,625,138,neg,neg,neg,pos,neg,neg,neg,neg,Other,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Other,474,0,616,140,neg,neg,neg,pos,neg,neg,neg,neg,Other,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Other,347,0,555,101,neg,neg,neg,pos,neg,neg,neg,neg,Other,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Other,435,0,573,131,neg,neg,neg,pos,neg,neg,neg,neg,Other,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Other,444,0,554,132,neg,neg,neg,pos,neg,neg,neg,neg,Other,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Other,445,0,585,133,neg,neg,neg,pos,neg,neg,neg,neg,Other,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Other,460,0,576,136,neg,neg,neg,pos,neg,neg,neg,neg,Other,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Other,332,0,539,97,neg,neg,neg,pos,neg,neg,neg,neg,Other,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Other,388,0,534,115,neg,neg,neg,pos,neg,neg,neg,neg,Other,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Epithelial,416,0,515,125,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Other,433,0,545,129,neg,neg,neg,pos,neg,neg,neg,neg,Other,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Other,437,0,504,132,neg,neg,neg,pos,neg,neg,neg,neg,Other,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Other,333,0,471,99,neg,neg,neg,pos,neg,neg,neg,neg,Other,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Other,336,0,480,101,neg,neg,neg,pos,neg,neg,neg,neg,Other,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Other,392,0,497,116,neg,neg,neg,pos,neg,neg,neg,neg,Other,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Other,415,0,500,125,neg,neg,neg,pos,neg,neg,neg,neg,Other,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Epithelial,448,0,490,132,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Epithelial,497,0,739,148,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Epithelial,566,0,743,172,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Epithelial,578,0,770,178,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Epithelial,584,0,739,181,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Epithelial,590,0,748,182,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Epithelial,517,0,695,156,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Epithelial,528,0,688,161,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,PDAC,402
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,402_1.im3,Other,543,0,687,167,neg,neg,neg,pos,neg,neg,neg,neg,Other,PDAC,402
