Path,Sample.Name,Phenotype,Cell.ID,Total.Cells,Cell.X.Position,Cell.Y.Position,CD8,FoxP3,PD.L1,CD4,Treg,APC,Epithelial,Tcell,CellType,Group,Patient
C:\Users\Sam\Documents\Normal Pancreas - TMAs,812_1.im3,Epithelial,7,0,670,13,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,812
C:\Users\Sam\Documents\Normal Pancreas - TMAs,812_1.im3,Epithelial,9,0,677,17,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,812
C:\Users\Sam\Documents\Normal Pancreas - TMAs,812_1.im3,Epithelial,15,0,676,27,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,812
C:\Users\Sam\Documents\Normal Pancreas - TMAs,812_1.im3,Epithelial,5,0,655,11,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,812
C:\Users\Sam\Documents\Normal Pancreas - TMAs,812_1.im3,Epithelial,6,0,660,13,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,812
C:\Users\Sam\Documents\Normal Pancreas - TMAs,812_1.im3,Tcell,13,0,652,23,neg,neg,neg,pos,neg,neg,neg,pos,Helper T-Cell,Chronic Pancreatitis,812
C:\Users\Sam\Documents\Normal Pancreas - TMAs,812_1.im3,Epithelial,14,0,662,21,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,812
C:\Users\Sam\Documents\Normal Pancreas - TMAs,812_1.im3,Epithelial,17,0,665,33,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,812
C:\Users\Sam\Documents\Normal Pancreas - TMAs,812_1.im3,Tcell,251,0,467,426,neg,neg,neg,pos,neg,neg,neg,pos,Helper T-Cell,Chronic Pancreatitis,812
C:\Users\Sam\Documents\Normal Pancreas - TMAs,812_1.im3,Other,254,0,532,433,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,812
C:\Users\Sam\Documents\Normal Pancreas - TMAs,812_1.im3,Other,272,0,514,459,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,812
C:\Users\Sam\Documents\Normal Pancreas - TMAs,812_1.im3,Other,274,0,509,460,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,812
C:\Users\Sam\Documents\Normal Pancreas - TMAs,812_1.im3,Epithelial,253,0,492,433,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,812
C:\Users\Sam\Documents\Normal Pancreas - TMAs,812_1.im3,Tcell,268,0,469,457,neg,neg,neg,pos,neg,neg,neg,pos,Helper T-Cell,Chronic Pancreatitis,812
C:\Users\Sam\Documents\Normal Pancreas - TMAs,812_1.im3,Other,280,0,511,467,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,812
C:\Users\Sam\Documents\Normal Pancreas - TMAs,812_1.im3,Other,294,0,508,487,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,812
C:\Users\Sam\Documents\Normal Pancreas - TMAs,812_1.im3,Epithelial,295,0,522,489,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,812
C:\Users\Sam\Documents\Normal Pancreas - TMAs,812_1.im3,Epithelial,279,0,485,466,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,812
